IdUser,Name,Surname,Email,Password,Role,City,CookingStyle
1,Marco,Rossi,mrossi@mail.it,password12,CLIENT,NULL,NULL
2,Sofia,Bianchi,sbianchi@mail.it,password12,CLIENT,NULL,NULL
3,Carlo,Verdi,cverdi@chef.it,password12,CHEF,Rome,CLASSIC
4,Laura,Neri,lneri@chef.it,password12,CHEF,Milan,FUSION
5,Giulia,Russo,grusso@mail.it,password12,CLIENT,NULL,NULL
6,Andrea,Moro,amoro@mail.it,password12,CLIENT,NULL,NULL
7,Davide,Galli,dgalli@chef.it,password12,CHEF,Turin,MODERN
8,Elena,Bassi,ebassi@chef.it,password12,CHEF,Rome,CLASSIC
9,Luca,Esposito,lesposito@mail.it,password12,CLIENT,NULL,NULL
10,Chiara,Ferrara,cferrara@mail.it,password12,CLIENT,NULL,NULL
11,Matteo,Conti,mconti@mail.it,password12,CLIENT,NULL,NULL
12,Francesca,Riva,friva@chef.it,password12,CHEF,Florence,ETNIC
13,Giovanni,Lodi,glodi@chef.it,password12,CHEF,Bologna,MODERN
14,Sara,Monti,smonti@chef.it,password12,CHEF,Bari,CLASSIC
15,Antonio,Bruno,abruno@mail.it,password12,CLIENT,NULL,NULL
16,Valeria,Gialli,vgialli@mail.it,password12,CLIENT,NULL,NULL
17,Riccardo,Sanna,rsanna@chef.it,password12,CHEF,Venice,CLASSIC
18,Paola,Fanti,pfanti@chef.it,password12,CHEF,Rome,MODERN
19,Mauro,Leoni,mleoni@chef.it,password12,CHEF,Rome,FUSION
